INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]88
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]89
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]90
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]91
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]92
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]93
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]94
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]95
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]96
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]97
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]98
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]99
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]100
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]101
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]102
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]103
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]104
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]105
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]106
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]107
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]108
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]109
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]110
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]111
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]112
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]113
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]114
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]115
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]116
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]117
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]118
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]119
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]120
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]121
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]122
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]123
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]124
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]125
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]126
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]127
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]128
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]129
